title,author,isbn,category,totalCopies,availableCopies,publishedYear
If I Die in a Combat Zone,Tim O'Brien,0007162995,"Vietnam War, 1961-1975",100,100,2003
The Return of the King,J. R. R. Tolkien,0007171994,"Baggins, Frodo (Fictitious character)",100,100,2003
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,0007173024,Fiction,100,100,2004
I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,000717313X,Children's stories,100,100,2004
Oh Say Can You Say?,Dr. Seuss,0007175221,Children's stories,100,100,2004
There's a Boy in the Girls' Bathroom,Louis Sachar,0007178638,Boys,100,100,2004
Microserfs,Douglas Coupland,0007179812,Computer programmers,100,100,2004
Miss Wyoming,Douglas Coupland,0007179820,Actors,100,100,2004
Where Rainbows End,Cecelia Ahern,0007189958,Friendship,100,100,2004
Poirot,Agatha Christie,0007190689,Authors,100,100,2005
The Art of The Lord of the Rings,Gary Russell,0007191928,Costume,100,100,2004
The Known World,Edward P. Jones,0007195303,African American plantation owners,100,100,2004
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,0007195710,Conduct of life,100,100,2004
Naked Lunch,William S. Burroughs,0007204442,Alienation (Social psychology),100,100,2005
Tropic of Cancer,Henry Miller,0007204469,Fiction,100,100,2005
Close Range,Annie Proulx,0007205589,Cowboys,100,100,2006
The Love of the Last Tycoon,F. Scott Fitzgerald,0020199856,Fiction,100,100,1994
The Song of Rhiannon,Evangeline Walton,0020264739,Fiction,100,100,1992
Heart Songs and Other Stories,Annie Proulx,0020360754,Fiction,100,100,1995
The voyage of the Dawn Treader,Clive Staples Lewis,0020442602,Juvenile Fiction,100,100,1970
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,0020442807,Fairy tales,100,100,1978
The Short Stories of Ernest Hemingway,Ernest Hemingway,0020518609,Fiction,100,100,1986
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,0020867409,Christianity,100,100,1982
Reason in History,Georg Wilhelm Friedrich Hegel,0023513209,Philosophy,100,100,1953
The Elements of Style,William Strunk;Elwyn Brooks White,0024181900,Language Arts & Disciplines,100,100,1979
The Presocratics,Philip Wheelwright,002426640X,Philosophy,100,100,1966
Spandau,Albert Speer,0026995018,History,100,100,1976
The Rumble Seat Pony,Clarence William Anderson,002705490X,"Animals, Treatment of",100,100,1971
The Journey with Grandmother,Edith Unnerstad,0027897508,Grandmothers,100,100,1960
Tyranny of the Majority,Lani Guinier,0029131693,History,100,100,1995
The Origins of the Civil Rights Movement,Aldon D. Morris,0029221307,History,100,100,1986
Presidential Power and the Modern Presidents,Richard E. Neustadt,0029227968,History,100,100,1991
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,0030420563,Juvenile Fiction,100,100,1978
Where the Red Fern Grows,Wilson Rawls,0030547741,Juvenile Fiction,100,100,2000
