title,author,isbn,category,totalCopies,availableCopies,publishedYear
Sunstorm,Arthur Charles Clarke;Stephen Baxter,0345452518,Fiction,100,100,2006
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,0345453743,Fiction,100,100,2002
Shadow Dance,Julie Garwood,0345453867,Fiction,100,100,2007
1968,Mark Kurlansky,0345455827,History,100,100,2005
The Probable Future,Alice Hoffman,0345455916,Fiction,100,100,2004
The Belgariad V.2,David Eddings,0345456327,Fantasy,100,100,2002
The Vampire Chronicles Collection,Anne Rice,0345456343,Fiction,100,100,2002
The Bonesetter's Daughter,Amy Tan,0345457374,Fiction,100,100,2003
Altered Carbon,Richard K. Morgan,0345457692,Fiction,100,100,2006
Market Forces,Richard K. Morgan,0345457749,Fiction,100,100,2005
Tales Before Tolkien,Douglas A. Anderson,0345458567,Fiction,100,100,2005
Body Double,tess girritsen,034545894X,Fiction,100,100,2005
Lost and Found,Alan Dean Foster,0345461274,Fiction,100,100,2005
The Light-Years Beneath My Feet,Alan Dean Foster,0345461304,Fiction,100,100,2006
To The Last Man,Jeff Shaara,0345461363,Fiction,100,100,2005
Sliding Scales,Alan Dean Foster,0345461584,Fiction,100,100,2005
Running from the Deity,Alan Dean Foster,0345461614,Fiction,100,100,2006
Judas Unchained,Peter F. Hamilton,0345461673,Fiction,100,100,2007
The Swarm War,Troy Denning,0345463056,Fiction,100,100,2006
Yoda,Sean Stewart,0345463099,Fiction,100,100,2004
The Fourth Hand,John Irving,0345463153,Fiction,100,100,2003
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,0345463293,Fiction,100,100,2002
Saving Fish from Drowning,Amy Tan,034546401X,Fiction,100,100,2006
A Parchment of Leaves,Silas House,0345464974,Fiction,100,100,2003
The Heritage of Shannara,Terry Brooks,0345465547,Fiction,100,100,2003
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,034546639X,Self-Help,100,100,2004
Perfect Nightmare,John Saul,0345467329,Fiction,100,100,2006
The Franklin Affair,Jim Lehrer,0345468031,Fiction,100,100,2006
Oh My Stars,Lorna Landvik,0345468368,Fiction,100,100,2005
The Chronicles of Riddick,Alan Dean Foster,0345468392,Fiction,100,100,2004
The Amateur Marriage,Anne Tyler,0345472454,Fiction,100,100,2006
Star Wars,James Luceno,0345475739,Fiction,100,100,2005
The Guns of August,Barbara Wertheim Tuchman,0345476093,History,100,100,2004
Wish You Were Here,Nick Webb,0345476514,Biography & Autobiography,100,100,2005
The Fortunate Pilgrim,Mario Puzo,0345476727,Biography & Autobiography,100,100,2004
The Vampire Lestat,Anne Rice,0345476883,Fiction,100,100,2004
Vanish,Tess Gerritsen,0345476980,Fiction,100,100,2006
Darth Bane,Drew Karpyshyn,0345477367,Fiction,100,100,2006
Star Wars,Timothy Zahn,0345477383,Fiction,100,100,2007
Tempest,Troy Denning,0345477529,Fiction,100,100,2006
Star Wars,Ann Margaret Lewis;Helen Keier,034547760X,Fiction,100,100,2006
Tsubasa,CLAMP (Mangaka group),0345477979,Juvenile Fiction,100,100,2005
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass;Harriet Jacobs,0345478231,Biography & Autobiography,100,100,2004
Already Dead,Charlie Huston,034547824X,Fiction,100,100,2005
No Dominion,Charlie Huston,0345478258,Fiction,100,100,2006
A Slipping-down Life,Anne Tyler,0345478959,Fiction,100,100,1970
Trump,Donald Trump,0345479173,Biography & Autobiography,100,100,2005
Ego & Hubris,Harvey Pekar,0345479394,Biography & Autobiography,100,100,2006
Inferno,Alex Irvine;Bob Kane,0345479459,Comics & Graphic Novels,100,100,2006
Until I Find You,John Irving,0345479726,Fiction,100,100,2006
The Coal Tattoo,Silas House,0345480058,Fiction,100,100,2005
Throne of Jade,Naomi Novik,0345481291,Fiction,100,100,2006
A Dangerous Man,Charlie Huston,034548133X,Fiction,100,100,2006
Enchantment,Orson Scott Card,0345482409,Fiction,100,100,2005
How to Be Lost,Amanda Eyre Ward,0345483170,Fiction,100,100,2005
Queen of the Underworld,Gail Godwin,0345483197,Fiction,100,100,2007
Jarka Ruus,Terry Brooks,0345483898,Fiction,100,100,2005
Armageddon's Children,Terry Brooks,034548410X,Fiction,100,100,2007
Tsubasa 9 Reservoir Chronicle,CLAMP (Mangaka group),0345484290,nan,100,100,2004
Them,Joyce Carol Oates,0345484401,Fiction,100,100,2006
Thirteen,Richard K. Morgan,0345485254,Fiction,100,100,2007
"Tsubasa, 11",CLAMP (Mangaka group),0345485289,Amnesia,100,100,2004
Tsubasa 12 Reservoir Chronicle,CLAMP (Mangaka group),0345485327,Graphic novels,100,100,2004
Candy Licker,Noire,0345486471,Fiction,100,100,2005
Drop Dead Gorgeous,Linda Howard,0345486587,Fiction,100,100,2006
The Devil's Labyrinth,John Saul,0345487036,Fiction,100,100,2007
Feel the Fear-- and Do it Anyway,Susan J. Jeffers,0345487427,Psychology,100,100,2007
The Devilish Pleasures of a Duke,Jillian Hunter,0345487621,Fiction,100,100,2007
Star Wars Republic Commando,Karen Traviss,0345490096,Fiction,100,100,2006
The Manhattan Hunt Club,John Saul,0345490649,Fiction,100,100,2006
The Voyage of the Jerle Shannara Trilogy,Terry Brooks,0345492862,Fiction,100,100,2006
The Plague Dogs,Richard Adams,0345494024,Fiction,100,100,2006
The Making of Star Wars,J. W. Rinzler,0345494768,Performing Arts,100,100,2007
"Star Trek, the Animated Series",Alan Dean Foster,0345495810,Star trek fiction,100,100,1996
Star Trek Logs Five and Six,Alan Dean Foster,0345495837,Fiction,100,100,2006
Logs Seven and Eight,Alan Dean Foster,0345495845,Fiction,100,100,2006
The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,0345538374,Fiction,100,100,2012
The World According to Garp,John Irving,0345915593,nan,100,100,1999
If this is a Man ; and The Truce,Primo Levi,0349100136,History,100,100,1987
The Drowned and the Saved,Primo Levi,0349100470,Auschwitz (Poland : Concentration camp),100,100,1989
The Lost Continent,Bill Bryson,034910056X,Cities and towns,100,100,1990
The Life and Death of My Lord Gilles de Rais,Robert Nye,0349102503,nan,100,100,1991
Lincoln,Gore Vidal,0349105308,Political fiction,100,100,1994
The Age of Extremes,Eric J. Hobsbawm,0349106711,"History, Modern",100,100,1996
Hitler's Willing Executioners,Daniel Jonah Goldhagen,0349107866,Antisemitism,100,100,1997
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,0349110018,Popular culture,100,100,1998
Brief Interviews with Hideous Men,David Foster Wallace,034911188X,Misogyny,100,100,2001
Embrace,Mark Behr,0349113009,Fiction,100,100,2001
The Tipping Point,Malcolm Gladwell,0349113467,Social Science,100,100,2000
Aldous Huxley,Nicholas Murray,0349113483,Great Britain,100,100,2003
Me Talk Pretty One Day,David Sedaris,0349113912,Education,100,100,2002
Long Walk to Freedom,Nelson Mandela,034911630X,Apartheid,100,100,2003
Dead Air,Iain Banks,0349116644,London (England),100,100,2003
The Kalahari Typing School for Men,Alexander McCall Smith,0349117047,Botswana,100,100,2004
A Likely Lad,Gillian Avery,0370307127,Adventure stories,100,100,1986
The Love Artist,Valerie Parv,0373028601,Fiction,100,100,1987
Lawful Possession,Catherine George,0373033109,Fiction,100,100,1994
P.S. I Love You,Valerie Parv,0373033664,Fiction,100,100,1995
The Boy in White,Tessa Kay,037306232X,Fiction,100,100,1987
The Sultan's Bought Bride,Jane Porter,037312418X,Fiction,100,100,2004
A Mistress For The Taking,Annie West,037312600X,Fiction,100,100,2007
Sky's Pride and Joy,Sandra Steffen,0373194862,Fiction,100,100,2000
If You Don't Know by Now,Teresa Southwick,0373195605,Fiction,100,100,2001
The Stranger Next Door,Joanna Wayne,0373225733,Fiction,100,100,2000
The Sheik & the Princess Bride,Susan Mallery,0373246471,Fiction,100,100,2004
Lori's Little Secret,Christine Rimmer,0373246838,Fiction,100,100,2005
Burning The Map,Laura Caldwell,0373250215,Fiction,100,100,2002
Slightly Settled,Wendy Markham,0373250479,Fiction,100,100,2004
Monkey Business,Sarah Mlynowski,0373250711,Fiction,100,100,2004
The Right Stuff,Merline Lovelace,0373273495,Fiction,100,100,2004
In Dark Waters,Mary Burton,0373274483,Fiction,100,100,2005
The Bluest Eyes in Texas,Marilyn Pappano,0373274610,Fiction,100,100,2005
Wild Fire,Debra Cowan,0373274742,Fiction,100,100,2006
The MacGregors,Nora Roberts,037328523X,Fiction,100,100,2006
Dream Makers,Nora Roberts,0373285248,Fiction,100,100,2006
Rebellion,Nora Roberts,0373285434,Fiction,100,100,2006
The Gunslinger,Mary McBride,0373288565,Fiction,100,100,1995
Lady of the Lake,Elizabeth Mayne,0373289804,Fiction,100,100,1997
The Gunslinger's Bride,Cheryl St. John,0373291779,Fiction,100,100,2001
Tallchief for Keeps,Cait London,0373483376,Fiction,100,100,1997
Time & Again,Nora Roberts,0373484410,Man-woman relationships,100,100,2001
First Impressions,Nora Roberts,0373510055,Fiction,100,100,1992
Year's Happy Ending,Betty Neels,0373511620,Fiction,100,100,2001
Double-Cross,Meredith Fletcher,0373513283,Fiction,100,100,2004
Father to Son,Warren Murphy;Richard Sapir,0373632444,Fiction,100,100,2002
Savage Sun,James Axler,0373638167,Fiction,100,100,1997
Omega Path,James Axler,0373638175,Fiction,100,100,1998
Hydra's Ring,James Axler,0373638523,Fiction,100,100,2006
Her Last Temptation,Leslie Kelly,0373692285,Fiction,100,100,2005
Her Little Secret,Anna Adams,0373712480,Fiction,100,100,2005
Expectant Father,Melinda Curtis,0373713010,Fiction,100,100,2005
The Other Woman,Brenda Novak,0373713444,Fiction,100,100,2006
The Accidental Bodyguard,Ann Major,0373760035,Fiction,100,100,1996
Tallchief,Cait London,0373764197,Fiction,100,100,2002
Dr. Desirable,Kristi Gold,0373764219,Fiction,100,100,2002
Blame it on the Blackout,Heidi Betts,0373766629,Fiction,100,100,2005
Bedded Then Wed,Heidi Betts,0373767617,Fiction,100,100,2006
Blackmailed Into Bed,Heidi Betts,037376779X,Fiction,100,100,2007
Tell Me No Lies,Elizabeth Lowell,0373771258,Fiction,100,100,2006
A Lady At Last,Brenda Joyce,0373771371,Fiction,100,100,2006
"The Pirate, the Adventurer & the Cowboy",Jayne Ann Krentz,0373771711,Fiction,100,100,2006
Call After Midnight & Under the Knife,Tess Gerritsen,037377172X,Fiction,100,100,2006
Manhunting,Jennifer Crusie,0373772513,Fiction,100,100,1993
Reckless Love,Elizabeth Lowell,0373772521,Fiction,100,100,2007
The Perfect Score,Julie Kenner,0373792735,Fiction,100,100,2006
Elphame's Choice,P. C. Cast,0373802137,Fiction,100,100,2004
Winter Moon,Mercedes Lackey;Tanith Lee;C. E. Murphy,0373802390,Fiction,100,100,2005
Brighid's Quest,P. C. Cast,0373802420,Fiction,100,100,2005
Shattered Dance,Caitlin Brennan,037380248X,Fiction,100,100,2006
Sizzle,Jennifer Crusie,0373832710,Fiction,100,100,1994
The Foundling,Georgette Heyer,0373835493,Fiction,100,100,2003
Sylvester,Georgette Heyer,0373836082,Fiction,100,100,2004
"And the Envelope, Please...",Barbara Bretton;Emilie Rose;Isabel Sharpe,0373836937,Fiction,100,100,2006
Suddenly Daddy,Loree Lough,0373870280,Fiction,100,100,1998
Seven Sunny Days,Chris Manby,0373895208,Fiction,100,100,2005
Cross-X,Joe Miller,0374131945,Social Science,100,100,2006
The Echo Maker,Richard Powers,0374146357,Fiction,100,100,2006
That Same Flower,Jostein Gaarder;Anne Born,0374253846,Fiction,100,100,1998
Sylvia,Leonard Michaels,0374271070,Fiction,100,100,2007
Uncommon Carriers,John McPhee,0374280398,Literary Collections,100,100,2006
The World Is Flat [Updated and Expanded],Thomas L. Friedman,0374292795,Social Science,100,100,2006
The Discomfort Zone,Jonathan Franzen,0374299196,Biography & Autobiography,100,100,2006
Everything on a Waffle,Polly Horvath,0374422087,Juvenile Fiction,100,100,2004
Gimpel the Fool and Other Stories,Isaac Bashevis Singer,0374500525,Fiction,100,100,1988
The Natural,Bernard Malamud,0374502005,Fiction,100,100,1952
The Slave,Isaac Bashevis Singer,0374506809,Fiction,100,100,1988
Giving Good Weight,John McPhee,0374516006,Literary Collections,100,100,1994
Sammlung,Isaac Bashevis Singer,0374517886,Fiction,100,100,1982
Heirs of General Practice,John McPhee,0374519749,Biography & Autobiography,100,100,1986
The Control of Nature,John McPhee,0374522596,Nature,100,100,1990
The Death of Artemio Cruz,Carlos Fuentes,0374522839,Fiction,100,100,1991
Coming Into the Country,John McPhee,0374522871,Nature,100,100,1991
Assembling California,John McPhee,0374523932,Science,100,100,1994
Satan in Goray,Isaac Bashevis Singer,0374524793,Fiction,100,100,1996
The Stories (So Far) of Deborah Eisenberg,Deborah Eisenberg,0374524920,Fiction,100,100,1997
The Lost Lunar Baedeker,Mina Loy,0374525072,Poetry,100,100,1997
The Spirit Level,Seamus Heaney,0374525110,Poetry,100,100,1997
The Artist of the Missing,Paul LaFarge,0374525803,Fiction,100,100,1999
The Magic Barrel,Bernard Malamud,0374525862,Fiction,100,100,2003
The Eclogues of Virgil,Virgil,0374526966,Poetry,100,100,2000
The Oresteia of Aeschylus,Aeschylus;Ted Hughes,0374527059,Drama,100,100,2000
The Brothers Karamazov,Fyodor Dostoevsky,0374528373,Fiction,100,100,2002
"Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall",Anthony E. Wolf,0374528535,Family & Relationships,100,100,2002
Selected Verse,Federico García Lorca;Christopher Maurer;Catherine Brown,0374528551,Poetry,100,100,2004
Crescent and Star,Stephen Kinzer,0374528667,History,100,100,2002
Memoirs of Hadrian,Marguerite Yourcenar;Grace Frick,0374529264,Fiction,100,100,2005
The Fixer,Bernard Malamud,0374529388,Fiction,100,100,2004
The Poetry of Pablo Neruda,Pablo Neruda;Ilan Stavans,0374529604,Poetry,100,100,2005
Play It As It Lays,Joan Didion,0374529949,Fiction,100,100,2005
Gimpel the Fool,Isaac Bashevis Singer,0374530254,Fiction,100,100,1957
Martin and John,Dale Peck,0374530300,Fiction,100,100,2006
Georgics (Zongo Classics),Virgil,0374530319,Poetry,100,100,2017
Palm-of-the-Hand Stories,Yasunari Kawabata;Lane Dunlop;J. Martin Holman,0374530491,Fiction,100,100,2006
Sophie's World,Jostein Gaarder,0374530718,Fiction,100,100,2007
The complete stories,Flannery O'Connor,0374626235,Short stories,100,100,1971
Molloy,Samuel Beckett,0375400702,Fiction,100,100,1997
The Border Trilogy,Cormac McCarthy,0375407936,Fiction,100,100,1999
Ralph Ellison,Arnold Rampersad,0375408274,Biography & Autobiography,100,100,2007
Collected Shorter Fiction,graf Leo Tolstoy;Louise Maude,0375411720,Fiction,100,100,2001
Palace Walk,Najīb Mahfūz;Ṣabrī Ḥāfiẓ,0375413316,nan,100,100,2019
Essays,George Orwell,0375415033,Literary Collections,100,100,2002
On Late Style,Edward W. Saïd,037542105X,Literary Criticism,100,100,2006
The Good Husband of Zebra Drive,Alexander McCall Smith,0375422714,Botswana,100,100,2007
Blue Shoes and Happiness,Alexander McCall Smith,0375422722,Botswana,100,100,2006
Black Hole,Charles Burns,037542380X,Comics & Graphic Novels,100,100,2005
The Heart of a Woman,Maya Angelou,0375500723,Biography & Autobiography,100,100,1997
Cliffs of Despair,Tom Hunt,0375507159,Psychology,100,100,2006
In Cold Blood,Truman Capote,0375507906,True Crime,100,100,1966
Shakespeare's Kitchen,Francine Segan,0375509178,Cooking,100,100,2003
As She Climbed Across the Table,Jonathan Lethem,0375700129,Fiction,100,100,1998
Evening,Susan Minot,0375700269,Fiction,100,100,1999
The Executioner's Song,Norman Mailer,0375700811,Fiction,100,100,1998
Virginia Woolf,Hermione Lee,0375701362,Biography & Autobiography,100,100,1999
Night Falls Fast,Kay Redfield Jamison,0375701478,nan,100,100,2011
Geisha,Jodi Cobb;Ian Buruma,037570180X,Photography,100,100,1998
The Amen Corner,James Baldwin,0375701885,Drama,100,100,1998
Tell Me how Long the Train's Been Gone,James Baldwin,0375701893,Fiction,100,100,1998
The Moviegoer,Walker Percy,0375701966,Fiction,100,100,1998
The World and Other Places,Jeanette Winterson,0375702369,Fiction,100,100,2000
Melville,Andrew Delbanco,0375702970,Biography & Autobiography,100,100,2006
A Virtuous Woman,Kaye Gibbons,0375703063,Fiction,100,100,1997
Maximum City,Suketu Mehta,0375703403,Social Science,100,100,2005
Glamorama,Bret Easton Ellis,0375703845,Fiction,100,100,2000
White Teeth,Zadie Smith,0375703861,FICTION,100,100,2000
The Autograph Man,Zadie Smith,037570387X,Fiction,100,100,2003
Awakenings,Oliver W. Sacks,0375704051,Medical,100,100,1999
Sons of Mississippi,Paul Hendrickson,0375704256,Biography & Autobiography,100,100,2004
For the relief of unbearable urges,Nathan Englander,0375704434,Fiction,100,100,2000
"Breath, Eyes, Memory",Edwidge Danticat,037570504X,Fiction,100,100,1998
Founding Brothers,Joseph J. Ellis,0375705244,Biography & Autobiography,100,100,2002
The Tiny One,Eliza Minot,037570633X,Fiction,100,100,2000
Crucible of War,Fred Anderson,0375706364,History,100,100,2000
No Country for Old Men,Cormac McCarthy,0375706674,Fiction,100,100,2006
I Married a Communist,Philip Roth,0375707212,Fiction,100,100,1999
Lives of Girls and Women,Alice Munro,0375707492,Fiction,100,100,2001
The Working Poor,David K. Shipler,0375708219,Social Science,100,100,2005
Masters of Death,Richard Rhodes,0375708227,History,100,100,2003
American Chronicle,Gore Vidal,0375708731,Vice-Presidents,100,100,2000
De Kooning,Mark Stevens;Annalyn Swan,0375711163,Biography & Autobiography,100,100,2006
Geek Love,Katherine Dunn,0375713344,Fiction,100,100,2002
John James Audubon,Richard Rhodes,037571393X,Art,100,100,2006
Mediterranean Winter,Robert D. Kaplan,0375714332,Travel,100,100,2005
Manufacturing Consent,Edward S. Herman;Noam Chomsky,0375714499,Political Science,100,100,2002
Mythology,Alex Ross,0375714626,Art,100,100,2005
Peanuts,Charles M. Schulz,0375714634,Art,100,100,2003
"Good-bye, Chunky Rice",Craig Thompson,0375714766,Comics & Graphic Novels,100,100,2006
The Adolescent,Fyodor Dostoyevsky,0375719008,Fiction,100,100,2004
The Double and the Gambler,Fyodor Mikhailovich Dostoevsky;Fyodor Dostoyevsky,0375719016,Fiction,100,100,2007
Anil's Ghost,Michael Ondaatje,0375724370,Fiction,100,100,2001
The Stories of John Cheever,John Cheever,0375724427,United States,100,100,1978
Ghostwritten,David Mitchell,0375724508,Fiction,100,100,2001
Theatre,William Somerset Maugham,037572463X,Fiction,100,100,2001
The bridegroom,Ha Jin,0375724931,Fiction,100,100,2001
Stranger in the Forest,Eric Hansen,0375724958,Travel,100,100,2000
Elect Mr. Robinson for a Better World,Donald Antrim,0375725032,Fiction,100,100,1993
Staff Training in Mental Handicap,James Hogg;Peter J. Mittler,0375725180,Intellectual disability facilities,100,100,1987
Shroud,John Banville,037572530X,Fiction,100,100,2004
Acts of Faith,Philip Caputo,0375725970,Fiction,100,100,2006
Double Fold,Nicholson Baker,0375726217,Language Arts & Disciplines,100,100,2002
The Box Man,Kōbō Abe,0375726519,Fiction,100,100,2001
The Ruined Map,Kōbō Abe,0375726527,Fiction,100,100,2001
The Face of Another,Kobo Abe;Kōbō Abe,0375726535,Fiction,100,100,2003
A Coffin for Dimitrios,Eric Ambler,0375726713,Fiction,100,100,2001
Journey Into Fear,Eric Ambler,0375726721,Fiction,100,100,2002
The Light of Day,Eric Ambler,0375726799,Fiction,100,100,2004
Julian,Gore Vidal,037572706X,Fiction,100,100,2003
The Dive from Clausen's Pier,Ann Packer,0375727132,Fiction,100,100,2003
Lunar Park,Bret Easton Ellis,0375727272,Fiction,100,100,2006
"Salonica, City of Ghosts",Mark Mazower,0375727388,History,100,100,2006
World Light,Halldór Laxness,0375727574,Fiction,100,100,2002
Paradise Reclaimed,Halldor Kiljan Laxness,0375727582,Fiction,100,100,2002
The Picture of Dorian Gray,Oscar Wilde,0375751513,Fiction,100,100,1998
In Search of Lost Time: Time regained & A guide to Proust,Marcel Proust,0375752196,France,100,100,1998
In Search of Lost Time Volume III The Guermantes Way,Marcel Proust,0375752331,Fiction,100,100,1998
Iceland,David Roberts;Jon Krakauer,0375752676,Travel,100,100,1998
Sodom and Gomorrah,Marcel Proust,0375753109,Fiction,100,100,1992
Sailing Alone Around the Room,Billy Collins,0375755195,Poetry,100,100,2001
Nine Horses,Billy Collins,0375755209,Poetry,100,100,2003
The Trouble With Poetry,Billy Collins,0375755217,Poetry,100,100,2007
Pipe Dream,Solomon Jones,0375756604,Fiction,100,100,2001
Great Expectations,Charles Dickens,0375757015,Fiction,100,100,2001
The Return of the Native,Thomas Hardy,037575718X,Fiction,100,100,1994
Ethan Frome & Summer,Edith Wharton,0375757287,Fiction,100,100,2001
The Basic Works of Aristotle,Aristotle,0375757996,Philosophy,100,100,2001
Paris to the Moon,Adam Gopnik,0375758232,Biography & Autobiography,100,100,2001
Comfort Me With Apples,Ruth Reichl,0375758739,Biography & Autobiography,100,100,2002
Little Dorrit,Charles Dickens,037575914X,Fiction,100,100,2002
Crossing to Safety,Wallace Stegner,037575931X,Fiction,100,100,2002
The Waste Land and Other Writings,Thomas Stearns Eliot,0375759344,Poetry,100,100,2002
The Lost Painting,Jonathan Harr,0375759867,Art,100,100,2006
Daniel Deronda,George Eliot,037576013X,Fiction,100,100,1876
The Botany of Desire,Michael Pollan,0375760393,Gardening,100,100,2001
Paris 1919,Margaret MacMillan,0375760520,History,100,100,2002
War and Peace,graf Leo Tolstoy,0375760644,Fiction,100,100,2002
Savage Beauty,Nancy Milford,0375760814,Biography & Autobiography,100,100,2002
The Survivor,John F. Harris,0375760849,History,100,100,2006
The Truth About The Drug Companies,Marcia Angell,0375760946,Medical,100,100,2005
The Phantom Tollbooth,Norton Juster,0375806709,Fantasy fiction,100,100,2000
Jurassic Park Institute Dinosaur Field Guide,Thomas R. Holtz;M. K. Brett-Surman,0375812938,Juvenile Nonfiction,100,100,2001
The School Skeleton,Ron Roy,0375813683,Juvenile Fiction,100,100,2003
"Love, Stargirl",Jerry Spinelli,0375813756,Juvenile Fiction,100,100,2007
Terrier,Tamora Pierce,037581468X,Juvenile Fiction,100,100,2006
"Junie B., First Grader",Barbara Park,0375823026,Juvenile Fiction,100,100,2003
Ancient Greece and the Olympics,Mary Pope Osborne;Natalie Pope Boyce,0375823786,Juvenile Nonfiction,100,100,2004
Moose Master,George Edward Stanley,0375826882,Juvenile Fiction,100,100,2004
Code Word Kangaroo,George Edward Stanley,0375826890,Juvenile Fiction,100,100,2004
The Easter Rabbit's Parade,Lois Lenski,037582748X,Juvenile Fiction,100,100,2004
The People of Sparks,Jeanne DuPrau,0375828257,Juvenile Fiction,100,100,2005
Young Warriors,Tamora Pierce;Josepha Sherman,0375829636,Juvenile Fiction,100,100,2005
Ancient Rome and Pompeii,Mary Pope Osborne;Natalie Pope Boyce,0375832203,Juvenile Nonfiction,100,100,2006
Tsunamis and Other Natural Disasters,Mary Pope Osborne;Natalie Pope Boyce,0375832211,Juvenile Nonfiction,100,100,2007
Nick and Norah's Infinite Playlist,Rachel Cohn;David Levithan,0375835318,Juvenile Fiction,100,100,2006
Toys Go Out,Emily Jenkins,0375836047,Juvenile Fiction,100,100,2006
The Realm of Possibility,David Levithan,0375836578,Juvenile Fiction,100,100,2006
Mayflower Treasure Hunt,Ron Roy,0375839372,Juvenile Fiction,100,100,2007
Are We There Yet?,David Levithan,0375839569,Juvenile Fiction,100,100,2007
Naomi and Ely's No Kiss List,Rachel Cohn;David Levithan,0375844406,Juvenile Fiction,100,100,2007
The Amber Spyglass,Philip Pullman,0375846735,Juvenile Fiction,100,100,2007
Ox,Piers Anthony,0380004615,Fiction,100,100,1976
Laura,Donald Zochert,0380016362,Biography & Autobiography,100,100,1977
Chaining the Lady,Piers Anthony,0380017792,Fiction,100,100,1978
A twist of Lennon,Cynthia Lennon,0380454505,Biography & Autobiography,100,100,1980
Bethany's Sin,Robert R. McCammon,0380477122,nan,100,100,1984
Boy Who Turned Into a TV Set,Stephen Manes,0380620006,Juvenile Fiction,100,100,1983
100 Great Fantasy Short Short Stories,Isaac Asimov;Terry Carr,0380699176,Fiction,100,100,1985
Stephen Hawking's Universe,John Boslough,0380707632,Biography & Autobiography,100,100,1989
The Grass Crown,Colleen McCullough,038071082X,Fiction,100,100,1992
Caesar's Women,Colleen McCullough,0380710846,Fiction,100,100,1997
Tim,Colleen McCullough,0380711966,Fiction,100,100,1990
Neither Here Nor There:,Bill Bryson,0380713802,Travel,100,100,1993
Made in America,Bill Bryson,0380713810,Language Arts & Disciplines,100,100,1996
The Mother Tongue,Bill Bryson,0380715430,Language Arts & Disciplines,100,100,1991
Lucie Babbidge's House,Sylvia Cassedy,038071812X,Juvenile Fiction,100,100,1993
Wrinkles in Time,George Smoot;Keay Davidson,0380720442,Science,100,100,1994
Shadow of a Dark Queen,Raymond E. Feist,0380720868,Fiction,100,100,1995
The Death of an Irish Sea Wolf,Bartholomew Gill,0380725789,Fiction,100,100,1997
Notes from a Small Island,Bill Bryson,0380727501,Travel,100,100,1997
Prayers for Rain,Dennis Lehane,0380730367,Fiction,100,100,2000
Devil May Care,Elizabeth Peters,0380731150,Fiction,100,100,1977
Street of the Five Moons,Elizabeth Peters,0380731215,Fiction,100,100,2000
Summer of the Dragon,Elizabeth Peters,0380731223,Fiction,100,100,2001
Wayside School Is Falling Down (rack),Louis Sachar,0380731509,Juvenile Fiction,100,100,1998
Shutter Island,Dennis Lehane,038073186X,Fiction,100,100,2004
The Deeds of the Disturber,Elizabeth Peters,0380731959,Fiction,100,100,2000
Killing Time,Cynthia Harrod-Eagles,0380732025,Fiction,100,100,1998
Anne Frank,Johanna Hurwitz,0380732548,Juvenile Nonfiction,100,100,1999
Silver Nights,Jane Feather,0380755696,Fiction,100,100,2001
Xanth 15: The Color of Her Panties,Piers Anthony;Piers A. Jacob,0380759497,Fiction,100,100,1992
Firefly,Piers Anthony,0380759500,Fiction,100,100,1992
Only Mine,Elizabeth Lowell,0380763397,Fiction,100,100,1992
Neon Lit:city of Glass,Bob Callahan,038077108X,Fiction,100,100,1994
To Love a Dark Lord,Anne Stuart,0380776049,Fiction,100,100,1994
Runaway Bride,Deborah Gordon,0380777584,Fiction,100,100,1994
The Night Remembers,Kathleen Eagle,0380784912,Fiction,100,100,1998
Smoke and Mirrors,Neil Gaiman,0380789027,Fiction,100,100,2005
Shards of a Broken Crown,Raymond E. Feist,0380789833,Fiction,100,100,1999
Sins of a Shaker Summer,Deborah Woodworth,0380792044,Fiction,100,100,1999
Regarding the Fountain,Kate Klise,0380793474,Juvenile Fiction,100,100,1999
What Looks Like Crazy On an Ordinary Day,Pearl Cleage,038079487X,Fiction,100,100,1998
Exile's Return,Raymond E. Feist,0380803275,Fiction,100,100,2006
The Great Book of Amber,Roger Zelazny,0380809060,Fiction,100,100,1999
The Wolves in the Walls,Neil Gaiman,0380810956,Juvenile Fiction,100,100,2005
Lamb,Christopher Moore,0380813815,Fiction,100,100,2003
The Body in the Lighthouse,Katherine Hall Page,0380813866,Fiction,100,100,2004
The Nightingale's Song,Kathleen Eschenburg,0380815699,Fiction,100,100,2001
In the Beginning...was the Command Line,Neal Stephenson,0380815931,Computers,100,100,1999
Olympos,Dan Simmons,0380817934,Fiction,100,100,2006
The Marriage Lesson,Victoria Alexander,0380818205,Fiction,100,100,2001
First Comes Love,Christie Ridgway,0380818957,Fiction,100,100,2002
Red Message,Peter Abrahams,0380898039,nan,100,100,1986
Love Poems and Sonnets of William Shakespeare,William Shakespeare,0385017332,Drama,100,100,1991
The Complete Poetry of John Milton,"John Milton (Dichter, Grossbritannien)",0385023510,nan,100,100,1971
Your Child's Self-esteem,Dorothy Corkille Briggs,0385040202,Family & Relationships,100,100,1975
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,0385074077,Fiction,100,100,1966
